Approved symbol	Approved name	Locus type
AACT	symbol withdrawn, see [HGNC:16](/data/gene-symbol-report/#!/hgnc_id/HGNC:16)	unknown
AADAC	arylacetamide deacetylase	gene with protein product
AADACL2	arylacetamide deacetylase like 2	gene with protein product
AADACL2-AS1	AADACL2 antisense RNA 1	RNA, long non-coding
AADACL3	arylacetamide deacetylase like 3	gene with protein product
AADACL4	arylacetamide deacetylase like 4	gene with protein product
AADACP1	arylacetamide deacetylase pseudogene 1	pseudogene
AADAT	aminoadipate aminotransferase	gene with protein product
AAGAB	alpha and gamma adaptin binding protein	gene with protein product
AAK1	AP2 associated kinase 1	gene with protein product
AAMDC	adipogenesis associated Mth938 domain containing	gene with protein product
AAMP	angio associated migratory cell protein	gene with protein product
AANAT	aralkylamine N-acetyltransferase	gene with protein product
AAR2	AAR2 splicing factor	gene with protein product
AARD	alanine and arginine rich domain containing protein	gene with protein product
AARS1	alanyl-tRNA synthetase 1	gene with protein product
AARS1P1	alanyl-tRNA synthetase 1 pseudogene 1	pseudogene
AARS2	alanyl-tRNA synthetase 2, mitochondrial	gene with protein product
AARSD1	alanyl-tRNA synthetase domain containing 1	gene with protein product
AASDH	aminoadipate-semialdehyde dehydrogenase	gene with protein product
AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	gene with protein product
AASS	aminoadipate-semialdehyde synthase	gene with protein product
AATBC	apoptosis associated transcript in bladder cancer	RNA, long non-coding
AATF	apoptosis antagonizing transcription factor	gene with protein product
AATK	apoptosis associated tyrosine kinase	gene with protein product
AAVS1	adeno-associated virus integration site 1	virus integration site
ABALON	apoptotic BCL2L1-antisense long non-coding RNA	RNA, long non-coding
ABAT	4-aminobutyrate aminotransferase	gene with protein product
ABC1	symbol withdrawn, see [HGNC:29](/data/gene-symbol-report/#!/hgnc_id/HGNC:29)	unknown
ABC2	symbol withdrawn, see [HGNC:32](/data/gene-symbol-report/#!/hgnc_id/HGNC:32)	unknown
ABC3	symbol withdrawn, see [HGNC:33](/data/gene-symbol-report/#!/hgnc_id/HGNC:33)	unknown
ABC7	symbol withdrawn, see [HGNC:48](/data/gene-symbol-report/#!/hgnc_id/HGNC:48)	unknown
ABC50	symbol withdrawn, see [HGNC:70](/data/gene-symbol-report/#!/hgnc_id/HGNC:70)	unknown
ABCA1	ATP binding cassette subfamily A member 1	gene with protein product
ABCA2	ATP binding cassette subfamily A member 2	gene with protein product
ABCA3	ATP binding cassette subfamily A member 3	gene with protein product
ABCA4	ATP binding cassette subfamily A member 4	gene with protein product
ABCA5	ATP binding cassette subfamily A member 5	gene with protein product
ABCA6	ATP binding cassette subfamily A member 6	gene with protein product
ABCA7	ATP binding cassette subfamily A member 7	gene with protein product
ABCA8	ATP binding cassette subfamily A member 8	gene with protein product
ABCA9	ATP binding cassette subfamily A member 9	gene with protein product
ABCA9-AS1	ABCA9 antisense RNA 1	RNA, long non-coding
ABCA10	ATP binding cassette subfamily A member 10	gene with protein product
ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	pseudogene
ABCA12	ATP binding cassette subfamily A member 12	gene with protein product
ABCA13	ATP binding cassette subfamily A member 13	gene with protein product
ABCA17P	ATP binding cassette subfamily A member 17, pseudogene	pseudogene
ABCB1	ATP binding cassette subfamily B member 1	gene with protein product
ABCB2	symbol withdrawn, see [HGNC:43](/data/gene-symbol-report/#!/hgnc_id/HGNC:43)	unknown
ABCB3	symbol withdrawn, see [HGNC:44](/data/gene-symbol-report/#!/hgnc_id/HGNC:44)	unknown
ABCB4	ATP binding cassette subfamily B member 4	gene with protein product
ABCB5	ATP binding cassette subfamily B member 5	gene with protein product
ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	gene with protein product
ABCB7	ATP binding cassette subfamily B member 7	gene with protein product
ABCB8	ATP binding cassette subfamily B member 8	gene with protein product
ABCB9	ATP binding cassette subfamily B member 9	gene with protein product
ABCB10	ATP binding cassette subfamily B member 10	gene with protein product
ABCB10P1	ABCB10 pseudogene 1	pseudogene
ABCB10P2	symbol withdrawn, see [HGNC:14114](/data/gene-symbol-report/#!/hgnc_id/HGNC:14114)	pseudogene
ABCB10P3	ABCB10 pseudogene 3	pseudogene
ABCB10P4	ABCB10 pseudogene 4	pseudogene
ABCB11	ATP binding cassette subfamily B member 11	gene with protein product
ABCC1	ATP binding cassette subfamily C member 1	gene with protein product
ABCC2	ATP binding cassette subfamily C member 2	gene with protein product
ABCC3	ATP binding cassette subfamily C member 3	gene with protein product
ABCC4	ATP binding cassette subfamily C member 4	gene with protein product
ABCC5	ATP binding cassette subfamily C member 5	gene with protein product
ABCC5-AS1	ABCC5 antisense RNA 1	RNA, long non-coding
ABCC6	ATP binding cassette subfamily C member 6	gene with protein product
ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1	pseudogene
ABCC6P2	ATP binding cassette subfamily C member 6 pseudogene 2	pseudogene
ABCC7	symbol withdrawn, see [HGNC:1884](/data/gene-symbol-report/#!/hgnc_id/HGNC:1884)	unknown
ABCC8	ATP binding cassette subfamily C member 8	gene with protein product
ABCC9	ATP binding cassette subfamily C member 9	gene with protein product
ABCC10	ATP binding cassette subfamily C member 10	gene with protein product
ABCC11	ATP binding cassette subfamily C member 11	gene with protein product
ABCC12	ATP binding cassette subfamily C member 12	gene with protein product
ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)	pseudogene
ABCD1	ATP binding cassette subfamily D member 1	gene with protein product
ABCD1P1	ATP binding cassette subfamily D member 1 pseudogene 1	pseudogene
ABCD1P2	ATP binding cassette subfamily D member 1 pseudogene 2	pseudogene
ABCD1P3	ATP binding cassette subfamily D member 1 pseudogene 3	pseudogene
ABCD1P4	ATP binding cassette subfamily D member 1 pseudogene 4	pseudogene
ABCD1P5	ATP binding cassette subfamily D member 1 pseudogene 5	pseudogene
ABCD2	ATP binding cassette subfamily D member 2	gene with protein product
ABCD3	ATP binding cassette subfamily D member 3	gene with protein product
ABCD4	ATP binding cassette subfamily D member 4	gene with protein product
ABCE1	ATP binding cassette subfamily E member 1	gene with protein product
ABCF1	ATP binding cassette subfamily F member 1	gene with protein product
ABCF1-DT	ABCF1 divergent transcript	RNA, long non-coding
ABCF2	ATP binding cassette subfamily F member 2	gene with protein product
ABCF2P1	ATP binding cassette subfamily F member 2 pseudogene 1	pseudogene
ABCF2P2	ATP binding cassette subfamily F member 2 pseudogene 2	pseudogene
ABCF3	ATP binding cassette subfamily F member 3	gene with protein product
ABCG1	ATP binding cassette subfamily G member 1	gene with protein product
ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	gene with protein product
ABCG4	ATP binding cassette subfamily G member 4	gene with protein product
ABCG5	ATP binding cassette subfamily G member 5	gene with protein product
ABCG8	ATP binding cassette subfamily G member 8	gene with protein product
ABCR	symbol withdrawn, see [HGNC:34](/data/gene-symbol-report/#!/hgnc_id/HGNC:34)	unknown
ABHD1	abhydrolase domain containing 1	gene with protein product
ABHD2	abhydrolase domain containing 2	gene with protein product
ABHD3	abhydrolase domain containing 3	gene with protein product
ABHD4	abhydrolase domain containing 4	gene with protein product
ABHD5	abhydrolase domain containing 5	gene with protein product
ABHD6	abhydrolase domain containing 6	gene with protein product
ABHD8	abhydrolase domain containing 8	gene with protein product
ABHD10	abhydrolase domain containing 10	gene with protein product
ABHD11	abhydrolase domain containing 11	gene with protein product
ABHD11-AS1	ABHD11 antisense RNA 1 (tail to tail)	RNA, long non-coding
ABHD11-AS2	ABHD11 antisense RNA 2	RNA, long non-coding
ABHD12	abhydrolase domain containing 12	gene with protein product
ABHD12B	abhydrolase domain containing 12B	gene with protein product
ABHD13	abhydrolase domain containing 13	gene with protein product
ABHD14A	abhydrolase domain containing 14A	gene with protein product
ABHD14A-ACY1	ABHD14A-ACY1 readthrough	readthrough
ABHD14B	abhydrolase domain containing 14B	gene with protein product
ABHD15	abhydrolase domain containing 15	gene with protein product
ABHD15-AS1	ABHD15 antisense RNA 1	RNA, long non-coding
ABHD16A	abhydrolase domain containing 16A	gene with protein product
ABHD16B	abhydrolase domain containing 16B	gene with protein product
ABHD17A	abhydrolase domain containing 17A	gene with protein product
ABHD17AP1	abhydrolase domain containing 17A pseudogene 1	pseudogene
ABHD17AP2	symbol withdrawn, see [HGNC:28394](/data/gene-symbol-report/#!/hgnc_id/HGNC:28394)	pseudogene
ABHD17AP3	abhydrolase domain containing 17A pseudogene 3	pseudogene
ABHD17AP4	abhydrolase domain containing 17A pseudogene P4	pseudogene
ABHD17AP5	abhydrolase domain containing 17A pseudogene 5	pseudogene
ABHD17AP6	abhydrolase domain containing 17A pseudogene 6	pseudogene
ABHD17AP7	abhydrolase domain containing 17A pseudogene 7	pseudogene
ABHD17AP8	abhydrolase domain containing 17A pseudogene 8	pseudogene
ABHD17AP9	abhydrolase domain containing 17A pseudogene 9	pseudogene
ABHD17B	abhydrolase domain containing 17B	gene with protein product
ABHD17C	abhydrolase domain containing 17C	gene with protein product
ABHD18	abhydrolase domain containing 18	gene with protein product
ABI1	abl interactor 1	gene with protein product
ABI1P1	abl interactor 1 pseudogene 1	pseudogene
ABI2	abl interactor 2	gene with protein product
ABI3	ABI family member 3	gene with protein product
ABI3BP	ABI family member 3 binding protein	gene with protein product
ABITRAM	actin binding transcription modulator	gene with protein product
ABITRAMP1	ABITRAM pseudogene 1	pseudogene
ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	gene with protein product
ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	gene with protein product
ABLIM1	actin binding LIM protein 1	gene with protein product
ABLIM2	actin binding LIM protein family member 2	gene with protein product
ABLIM3	actin binding LIM protein family member 3	gene with protein product
ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	gene with protein product
ABR	ABR activator of RhoGEF and GTPase	gene with protein product
ABRA	actin binding Rho activating protein	gene with protein product
ABRACL	ABRA C-terminal like	gene with protein product
ABRAXAS1	abraxas 1, BRCA1 A complex subunit	gene with protein product
ABRAXAS2	abraxas 2, BRISC complex subunit	gene with protein product
ABT1	activator of basal transcription 1	gene with protein product
ABT1P1	activator of basal transcription 1 pseudogene 1	pseudogene
ABTB1	ankyrin repeat and BTB domain containing 1	gene with protein product
ABTB2	ankyrin repeat and BTB domain containing 2	gene with protein product
ACAA1	acetyl-CoA acyltransferase 1	gene with protein product
ACAA2	acetyl-CoA acyltransferase 2	gene with protein product
ACACA	acetyl-CoA carboxylase alpha	gene with protein product
ACACB	acetyl-CoA carboxylase beta	gene with protein product
ACAD	acyl-Coenzyme A dehydrogenase, multiple (chr X)	unknown
ACAD8	acyl-CoA dehydrogenase family member 8	gene with protein product
ACAD9	acyl-CoA dehydrogenase family member 9	gene with protein product
ACAD10	acyl-CoA dehydrogenase family member 10	gene with protein product
ACAD11	acyl-CoA dehydrogenase family member 11	gene with protein product
ACADL	acyl-CoA dehydrogenase long chain	gene with protein product
ACADM	acyl-CoA dehydrogenase medium chain	gene with protein product
ACADS	acyl-CoA dehydrogenase short chain	gene with protein product
ACADSB	acyl-CoA dehydrogenase short/branched chain	gene with protein product
ACADVL	acyl-CoA dehydrogenase very long chain	gene with protein product
ACAN	aggrecan	gene with protein product
ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	gene with protein product
ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	gene with protein product
ACAP2-IT1	ACAP2 intronic transcript 1	RNA, long non-coding
ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	gene with protein product
ACAT1	acetyl-CoA acetyltransferase 1	gene with protein product
ACAT2	acetyl-CoA acetyltransferase 2	gene with protein product
ACBD3	acyl-CoA binding domain containing 3	gene with protein product
ACBD3-AS1	ACBD3 antisense RNA 1	RNA, long non-coding
ACBD4	acyl-CoA binding domain containing 4	gene with protein product
ACBD5	acyl-CoA binding domain containing 5	gene with protein product
ACBD6	acyl-CoA binding domain containing 6	gene with protein product
ACBD7	acyl-CoA binding domain containing 7	gene with protein product
ACBP	symbol withdrawn, see [HGNC:2313](/data/gene-symbol-report/#!/hgnc_id/HGNC:2313)	unknown
ACC	symbol withdrawn, see [HGNC:84](/data/gene-symbol-report/#!/hgnc_id/HGNC:84)	unknown
ACCN	symbol withdrawn, see [HGNC:99](/data/gene-symbol-report/#!/hgnc_id/HGNC:99)	unknown
ACCPN	symbol withdrawn, see [HGNC:10914](/data/gene-symbol-report/#!/hgnc_id/HGNC:10914)	phenotype only
ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	gene with protein product
ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like	gene with protein product
ACD	ACD shelterin complex subunit and telomerase recruitment factor	gene with protein product
ACE	angiotensin I converting enzyme	gene with protein product
ACE2	angiotensin I converting enzyme 2	gene with protein product
ACE3P	angiotensin I converting enzyme 3, pseudogene	pseudogene
ACER1	alkaline ceramidase 1	gene with protein product
ACER2	alkaline ceramidase 2	gene with protein product
ACER2P1	ACER2 pseudogene 1	pseudogene
ACER3	alkaline ceramidase 3	gene with protein product
ACH	symbol withdrawn, see [HGNC:3690](/data/gene-symbol-report/#!/hgnc_id/HGNC:3690)	unknown
ACHAP	symbol withdrawn, see [HGNC:21101](/data/gene-symbol-report/#!/hgnc_id/HGNC:21101)	unknown
ACHE	acetylcholinesterase (Cartwright blood group)	gene with protein product
ACHM1	symbol withdrawn, see [HGNC:2153](/data/gene-symbol-report/#!/hgnc_id/HGNC:2153)	phenotype only
ACHM2	symbol withdrawn, see [HGNC:2150](/data/gene-symbol-report/#!/hgnc_id/HGNC:2150)	unknown
ACHM3	symbol withdrawn, see [HGNC:2153](/data/gene-symbol-report/#!/hgnc_id/HGNC:2153)	unknown
ACHRD	symbol withdrawn, see [HGNC:1965](/data/gene-symbol-report/#!/hgnc_id/HGNC:1965)	unknown
ACHRG	symbol withdrawn, see [HGNC:1967](/data/gene-symbol-report/#!/hgnc_id/HGNC:1967)	unknown
ACIN1	apoptotic chromatin condensation inducer 1	gene with protein product
ACKR1	atypical chemokine receptor 1 (Duffy blood group)	gene with protein product
ACKR2	atypical chemokine receptor 2	gene with protein product
ACKR3	atypical chemokine receptor 3	gene with protein product
ACKR4	atypical chemokine receptor 4	gene with protein product
ACKR4P1	ACKR4 pseudogene 1	pseudogene
ACLS	acrocallosal syndrome	phenotype only
ACLY	ATP citrate lyase	gene with protein product
ACMG	acromegaly	unknown
ACMSD	aminocarboxymuconate semialdehyde decarboxylase	gene with protein product
ACNATP	acyl-CoA:amino acid N-acyltransferase pseudogene	pseudogene
ACO1	aconitase 1	gene with protein product
ACO2	aconitase 2	gene with protein product
ACOD1	aconitate decarboxylase 1	gene with protein product
ACOT1	acyl-CoA thioesterase 1	gene with protein product
ACOT2	acyl-CoA thioesterase 2	gene with protein product
ACOT4	acyl-CoA thioesterase 4	gene with protein product
ACOT6	acyl-CoA thioesterase 6	gene with protein product
ACOT7	acyl-CoA thioesterase 7	gene with protein product
ACOT8	acyl-CoA thioesterase 8	gene with protein product
ACOT9	acyl-CoA thioesterase 9	gene with protein product
ACOT11	acyl-CoA thioesterase 11	gene with protein product
ACOT12	acyl-CoA thioesterase 12	gene with protein product
ACOT13	acyl-CoA thioesterase 13	gene with protein product
ACOX1	acyl-CoA oxidase 1	gene with protein product
ACOX2	acyl-CoA oxidase 2	gene with protein product
ACOX3	acyl-CoA oxidase 3, pristanoyl	gene with protein product
ACOXL	acyl-CoA oxidase like	gene with protein product
ACOXL-AS1	ACOXL antisense RNA 1	RNA, long non-coding
ACP1	acid phosphatase 1	gene with protein product
ACP2	acid phosphatase 2, lysosomal	gene with protein product
ACP3	acid phosphatase 3	gene with protein product
ACP4	acid phosphatase 4	gene with protein product
ACP5	acid phosphatase 5, tartrate resistant	gene with protein product
ACP6	acid phosphatase 6, lysophosphatidic	gene with protein product
ACP7	acid phosphatase 7, tartrate resistant (putative)	gene with protein product
ACR	acrosin	gene with protein product
ACRBP	acrosin binding protein	gene with protein product
ACRP1	ACR pseudogene 1	pseudogene
ACRV1	acrosomal vesicle protein 1	gene with protein product
ACS3	symbol withdrawn, see [HGNC:12428](/data/gene-symbol-report/#!/hgnc_id/HGNC:12428)	unknown
ACSBG1	acyl-CoA synthetase bubblegum family member 1	gene with protein product
ACSBG2	acyl-CoA synthetase bubblegum family member 2	gene with protein product
ACSF2	acyl-CoA synthetase family member 2	gene with protein product
ACSF3	acyl-CoA synthetase family member 3	gene with protein product
ACSL1	acyl-CoA synthetase long chain family member 1	gene with protein product
ACSL3	acyl-CoA synthetase long chain family member 3	gene with protein product
ACSL3-AS1	ACSL3 antisense RNA 1	RNA, long non-coding
ACSL4	acyl-CoA synthetase long chain family member 4	gene with protein product
ACSL5	acyl-CoA synthetase long chain family member 5	gene with protein product
ACSL6	acyl-CoA synthetase long chain family member 6	gene with protein product
ACSL6-AS1	ACSL6 antisense RNA 1	RNA, long non-coding
ACSM1	acyl-CoA synthetase medium chain family member 1	gene with protein product
ACSM2A	acyl-CoA synthetase medium chain family member 2A	gene with protein product
ACSM2B	acyl-CoA synthetase medium chain family member 2B	gene with protein product
ACSM3	acyl-CoA synthetase medium chain family member 3	gene with protein product
ACSM4	acyl-CoA synthetase medium chain family member 4	gene with protein product
ACSM5	acyl-CoA synthetase medium chain family member 5	gene with protein product
ACSM5P1	acyl-CoA synthetase medium chain family member 5 pseudogene 1	pseudogene
ACSM6	acyl-CoA synthetase medium chain family member 6	gene with protein product
ACSS1	acyl-CoA synthetase short chain family member 1	gene with protein product
ACSS2	acyl-CoA synthetase short chain family member 2	gene with protein product
ACSS3	acyl-CoA synthetase short chain family member 3	gene with protein product
ACTA1	actin alpha 1, skeletal muscle	gene with protein product
ACTA2	actin alpha 2, smooth muscle	gene with protein product
ACTA2-AS1	ACTA2 antisense RNA 1	RNA, long non-coding
ACTA3	symbol withdrawn, see [HGNC:145](/data/gene-symbol-report/#!/hgnc_id/HGNC:145)	unknown
ACTB	actin beta	gene with protein product
ACTBL2	actin beta like 2	gene with protein product
ACTBP1	ACTB pseudogene 1	pseudogene
ACTBP2	ACTB pseudogene 2	pseudogene
ACTBP3	ACTB pseudogene 3	pseudogene
ACTBP4	ACTB pseudogene 4	pseudogene
ACTBP5	actin, beta pseudogene 5	pseudogene
ACTBP6	ACTB pseudogene 6	pseudogene
ACTBP7	ACTB pseudogene 7	pseudogene
ACTBP8	ACTB pseudogene 8	pseudogene
ACTBP9	ACTB pseudogene 9	pseudogene
ACTBP10	ACTB pseudogene 10	pseudogene
ACTBP11	ACTB pseudogene 11	pseudogene
ACTBP12	ACTB pseudogene 12	pseudogene
ACTBP13	ACTB pseudogene 13	pseudogene
ACTBP14	ACTB pseudogene 14	pseudogene
ACTC1	actin alpha cardiac muscle 1	gene with protein product
ACTG1	actin gamma 1	gene with protein product
ACTG1P1	actin gamma 1 pseudogene 1	pseudogene
ACTG1P2	actin gamma 1 pseudogene 2	pseudogene
ACTG1P3	actin gamma 1 pseudogene 3	pseudogene
ACTG1P4	actin gamma 1 pseudogene 4	pseudogene
ACTG1P6	actin gamma 1 pseudogene 6	pseudogene
ACTG1P7	actin gamma 1 pseudogene 7	pseudogene
ACTG1P8	actin gamma 1 pseudogene 8	pseudogene
ACTG1P9	actin gamma 1 pseudogene 9	pseudogene
ACTG1P10	actin gamma 1 pseudogene 10	pseudogene
ACTG1P11	actin gamma 1 pseudogene 11	pseudogene
ACTG1P12	actin gamma 1 pseudogene 12	pseudogene
ACTG1P13	actin gamma 1 pseudogene 13	pseudogene
ACTG1P14	actin gamma 1 pseudogene 14	pseudogene
ACTG1P15	actin gamma 1 pseudogene 15	pseudogene
ACTG1P16	actin gamma 1 pseudogene 16	pseudogene
ACTG1P17	actin gamma 1 pseudogene 17	pseudogene
ACTG1P18	actin gamma 1 pseudogene 18	pseudogene
ACTG1P19	actin gamma 1 pseudogene 19	pseudogene
ACTG1P20	actin gamma 1 pseudogene 20	pseudogene
ACTG1P21	actin gamma 1 pseudogene 21	pseudogene
ACTG1P22	actin gamma 1 pseudogene 22	pseudogene
ACTG1P23	actin gamma 1 pseudogene 23	pseudogene
ACTG1P24	actin gamma 1 pseudogene 24	pseudogene
ACTG2	actin gamma 2, smooth muscle	gene with protein product
ACTL2	symbol withdrawn, see [HGNC:147](/data/gene-symbol-report/#!/hgnc_id/HGNC:147)	unknown
ACTL3	symbol withdrawn, see [HGNC:145](/data/gene-symbol-report/#!/hgnc_id/HGNC:145)	unknown
ACTL4	actin-like 4	unknown
ACTL5	actin-like 5	unknown
ACTL6A	actin like 6A	gene with protein product
ACTL6B	actin like 6B	gene with protein product
ACTL7A	actin like 7A	gene with protein product
ACTL7B	actin like 7B	gene with protein product
ACTL8	actin like 8	gene with protein product
ACTL9	actin like 9	gene with protein product
ACTL10	actin like 10	gene with protein product
ACTN1	actinin alpha 1	gene with protein product
ACTN1-AS1	ACTN1 antisense RNA 1	RNA, long non-coding
ACTN2	actinin alpha 2	gene with protein product
ACTN3	actinin alpha 3 (gene/pseudogene)	gene with protein product
ACTN4	actinin alpha 4	gene with protein product
ACTN4P1	actinin alpha 4 pseudogene 1	pseudogene
ACTN4P2	actinin alpha 4 pseudogene 2	pseudogene
ACTP1	actin family pseudogene 1	pseudogene
ACTR1A	actin related protein 1A	gene with protein product
ACTR1AP1	ACTR1A pseudogene 1	pseudogene
ACTR1B	actin related protein 1B	gene with protein product
ACTR2	actin related protein 2	gene with protein product
ACTR3	actin related protein 3	gene with protein product
ACTR3-AS1	ACTR3 antisense RNA 1	RNA, long non-coding
ACTR3B	actin related protein 3B	gene with protein product
ACTR3BP1	ACTR3B pseudogene 1	pseudogene
ACTR3BP2	ACTR3B pseudogene 2	pseudogene
ACTR3BP3	ACTR3B pseudogene 3	pseudogene
ACTR3BP4	ACTR3B pseudogene 4	pseudogene
ACTR3BP5	ACTR3B pseudogene 5	pseudogene
ACTR3BP6	ACTR3B pseudogene 6	pseudogene
ACTR3C	actin related protein 3C	gene with protein product
ACTR3P1	ACTR3 pseudogene 1	pseudogene
ACTR3P2	ACTR3 pseudogene 2	pseudogene
ACTR3P3	ACTR3 pseudogene 3	pseudogene
ACTR5	actin related protein 5	gene with protein product
ACTR6	actin related protein 6	gene with protein product
ACTR6P1	ACTR6 pseudogene 1	pseudogene
ACTR8	actin related protein 8	gene with protein product
ACTR10	actin related protein 10	gene with protein product
ACTRT1	actin related protein T1	gene with protein product
ACTRT2	actin related protein T2	gene with protein product
ACTRT3	actin related protein T3	gene with protein product
ACVR1	activin A receptor type 1	gene with protein product
ACVR1B	activin A receptor type 1B	gene with protein product
ACVR1C	activin A receptor type 1C	gene with protein product
ACVR2A	activin A receptor type 2A	gene with protein product
ACVR2B	activin A receptor type 2B	gene with protein product
ACVR2B-AS1	ACVR2B antisense RNA 1	RNA, long non-coding
ACVRL1	activin A receptor like type 1	gene with protein product
ACVRLK2	symbol withdrawn, see [HGNC:171](/data/gene-symbol-report/#!/hgnc_id/HGNC:171)	unknown
ACY1	aminoacylase 1	gene with protein product
ACY1L	symbol withdrawn, see [HGNC:26295](/data/gene-symbol-report/#!/hgnc_id/HGNC:26295)	pseudogene
ACY3	aminoacylase 3	gene with protein product
ACYP1	acylphosphatase 1	gene with protein product
ACYP2	acylphosphatase 2	gene with protein product
AD1	symbol withdrawn, see [HGNC:620](/data/gene-symbol-report/#!/hgnc_id/HGNC:620)	unknown
AD2	symbol withdrawn, see [HGNC:613](/data/gene-symbol-report/#!/hgnc_id/HGNC:613)	phenotype only
AD3	symbol withdrawn, see [HGNC:9508](/data/gene-symbol-report/#!/hgnc_id/HGNC:9508)	unknown
AD4	symbol withdrawn, see [HGNC:9509](/data/gene-symbol-report/#!/hgnc_id/HGNC:9509)	unknown
AD5	Alzheimer disease 5	phenotype only
ADA	adenosine deaminase	gene with protein product
ADA2	adenosine deaminase 2	gene with protein product
ADAD1	adenosine deaminase domain containing 1	gene with protein product
ADAD1P1	adenosine deaminase domain containing 1 pseudogene 1	pseudogene
ADAD1P2	adenosine deaminase domain containing 1 pseudogene 2	pseudogene
ADAD2	adenosine deaminase domain containing 2	gene with protein product
ADAL	adenosine deaminase like	gene with protein product
ADAM1A	ADAM metallopeptidase domain 1A (pseudogene)	pseudogene
ADAM1B	ADAM metallopeptidase domain 1B (pseudogene)	pseudogene
ADAM2	ADAM metallopeptidase domain 2	gene with protein product
ADAM3A	ADAM metallopeptidase domain 3A (pseudogene)	pseudogene
ADAM3B	ADAM metallopeptidase domain 3B (pseudogene)	pseudogene
ADAM5	ADAM metallopeptidase domain 5 (pseudogene)	pseudogene
ADAM6	ADAM metallopeptidase domain 6 (pseudogene)	pseudogene
ADAM7	ADAM metallopeptidase domain 7	gene with protein product
ADAM8	ADAM metallopeptidase domain 8	gene with protein product
ADAM9	ADAM metallopeptidase domain 9	gene with protein product
ADAM10	ADAM metallopeptidase domain 10	gene with protein product
ADAM11	ADAM metallopeptidase domain 11	gene with protein product
ADAM12	ADAM metallopeptidase domain 12	gene with protein product
ADAM12-OT1	ADAM12 overlapping transcript 1 (non-protein coding)	RNA, long non-coding
ADAM15	ADAM metallopeptidase domain 15	gene with protein product
ADAM17	ADAM metallopeptidase domain 17	gene with protein product
ADAM18	ADAM metallopeptidase domain 18	gene with protein product
ADAM19	ADAM metallopeptidase domain 19	gene with protein product
ADAM20	ADAM metallopeptidase domain 20	gene with protein product
ADAM20P1	ADAM metallopeptidase domain 20 pseudogene 1	pseudogene
ADAM20P2	ADAM metallopeptidase domain 20 pseudogene 2	pseudogene
ADAM20P3	ADAM metallopeptidase domain 20 pseudogene 3	pseudogene
ADAM21	ADAM metallopeptidase domain 21	gene with protein product
ADAM21P1	ADAM metallopeptidase domain 21 pseudogene 1	pseudogene
ADAM22	ADAM metallopeptidase domain 22	gene with protein product
